sport_code,scope_type,scope_code,phase_code,goal_code,primary_template_category,session_block_order,priority_basis,rank_1_category,rank_1_weight,rank_2_category,rank_2_weight,rank_3_category,rank_3_weight,rank_4_category,rank_4_weight,rank_5_category,rank_5_weight,rank_6_category,rank_6_weight,rank_7_category,rank_7_weight,rank_8_category,rank_8_weight
running,event,run_walk,general_preparation,general_performance,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,1.0,calf_soleus_capacity,0.6,maximum_strength,0.55,mobility_range_capacity,0.45,hamstring_capacity,0.35,trunk_force_transfer,0.25,,,,
running,event,run_walk,general_preparation,strength_power,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,1.0,maximum_strength,0.85,calf_soleus_capacity,0.6,mobility_range_capacity,0.45,hamstring_capacity,0.35,trunk_force_transfer,0.25,,,,
running,event,run_walk,general_preparation,speed_movement,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,1.0,calf_soleus_capacity,0.6,maximum_strength,0.55,mobility_range_capacity,0.45,hamstring_capacity,0.35,trunk_force_transfer,0.25,,,,
running,event,run_walk,general_preparation,conditioning,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;threshold_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,1.0,calf_soleus_capacity,0.6,maximum_strength,0.55,mobility_range_capacity,0.45,hamstring_capacity,0.35,trunk_force_transfer,0.25,threshold_capacity,0.2,,
running,event,run_walk,specific_preparation,general_performance,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.85,calf_soleus_capacity,0.55,maximum_strength,0.4,mobility_range_capacity,0.35,hamstring_capacity,0.3,trunk_force_transfer,0.2,,,,
running,event,run_walk,specific_preparation,strength_power,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.85,maximum_strength,0.7,calf_soleus_capacity,0.55,mobility_range_capacity,0.35,hamstring_capacity,0.3,trunk_force_transfer,0.2,,,,
running,event,run_walk,specific_preparation,speed_movement,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.85,calf_soleus_capacity,0.55,maximum_strength,0.4,mobility_range_capacity,0.35,hamstring_capacity,0.3,trunk_force_transfer,0.2,,,,
running,event,run_walk,specific_preparation,conditioning,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;threshold_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,1.0,calf_soleus_capacity,0.55,maximum_strength,0.4,mobility_range_capacity,0.35,hamstring_capacity,0.3,trunk_force_transfer,0.2,threshold_capacity,0.2,,
running,event,run_walk,competition,general_performance,aerobic_capacity,performance_preparation;maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity;recovery_management,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.85,calf_soleus_capacity,0.55,mobility_range_capacity,0.35,maximum_strength,0.3,hamstring_capacity,0.3,performance_preparation,0.2,trunk_force_transfer,0.2,recovery_management,0.2
running,event,run_walk,competition,strength_power,aerobic_capacity,performance_preparation;maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity;recovery_management,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.85,maximum_strength,0.6,calf_soleus_capacity,0.55,mobility_range_capacity,0.35,hamstring_capacity,0.3,performance_preparation,0.2,trunk_force_transfer,0.2,recovery_management,0.2
running,event,run_walk,competition,speed_movement,aerobic_capacity,performance_preparation;maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity;recovery_management,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.85,calf_soleus_capacity,0.55,mobility_range_capacity,0.35,maximum_strength,0.3,hamstring_capacity,0.3,performance_preparation,0.2,trunk_force_transfer,0.2,recovery_management,0.2
running,event,run_walk,competition,conditioning,aerobic_capacity,performance_preparation;maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;threshold_capacity;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,1.0,calf_soleus_capacity,0.55,mobility_range_capacity,0.35,maximum_strength,0.3,hamstring_capacity,0.3,performance_preparation,0.2,trunk_force_transfer,0.2,threshold_capacity,0.2
running,event,run_walk,transition,general_performance,aerobic_capacity,performance_preparation;maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity;recovery_management,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.95,calf_soleus_capacity,0.55,mobility_range_capacity,0.5,maximum_strength,0.4,hamstring_capacity,0.3,recovery_management,0.3,trunk_force_transfer,0.2,performance_preparation,0.1
running,event,run_walk,transition,strength_power,aerobic_capacity,performance_preparation;maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity;recovery_management,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.95,maximum_strength,0.7,calf_soleus_capacity,0.55,mobility_range_capacity,0.5,hamstring_capacity,0.3,recovery_management,0.3,trunk_force_transfer,0.2,performance_preparation,0.1
running,event,run_walk,transition,speed_movement,aerobic_capacity,performance_preparation;maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;mobility_range_capacity;recovery_management,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.95,calf_soleus_capacity,0.55,mobility_range_capacity,0.5,maximum_strength,0.4,hamstring_capacity,0.3,recovery_management,0.3,trunk_force_transfer,0.2,performance_preparation,0.1
running,event,run_walk,transition,conditioning,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;threshold_capacity;mobility_range_capacity;recovery_management,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,1.0,calf_soleus_capacity,0.55,mobility_range_capacity,0.5,maximum_strength,0.4,hamstring_capacity,0.3,recovery_management,0.3,trunk_force_transfer,0.2,threshold_capacity,0.2
running,event,5k,general_preparation,general_performance,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;threshold_capacity;high_intensity_aerobic_power;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.7,threshold_capacity,0.7,maximum_strength,0.45,calf_soleus_capacity,0.4,hamstring_capacity,0.35,high_intensity_aerobic_power,0.3,trunk_force_transfer,0.25,mobility_range_capacity,0.25
running,event,5k,general_preparation,strength_power,maximum_strength,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;threshold_capacity;high_intensity_aerobic_power;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",maximum_strength,0.75,aerobic_capacity,0.7,threshold_capacity,0.7,calf_soleus_capacity,0.4,hamstring_capacity,0.35,high_intensity_aerobic_power,0.3,trunk_force_transfer,0.25,mobility_range_capacity,0.25
running,event,5k,general_preparation,speed_movement,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;threshold_capacity;high_intensity_aerobic_power;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,0.7,threshold_capacity,0.7,maximum_strength,0.45,calf_soleus_capacity,0.4,hamstring_capacity,0.35,high_intensity_aerobic_power,0.3,trunk_force_transfer,0.25,mobility_range_capacity,0.25
running,event,5k,general_preparation,conditioning,aerobic_capacity,maximum_strength;calf_soleus_capacity;hamstring_capacity;trunk_force_transfer;aerobic_capacity;threshold_capacity;high_intensity_aerobic_power;mobility_range_capacity,"ordinal evidence-informed retrieval weighting; athlete deficits, schedule, safety and external load may lower or omit a category",aerobic_capacity,1.0,threshold_capacity,1.0,high_intensity_aerobic_power,0.6,maximum_strength,0.45,calf_soleus_capacity,0.4,hamstring_capacity,0.35,trunk_force_transfer,0.25,mobility_range_capacity,0.25
