source_id,exercise_name,code,aliases,type,movement_pattern,primary_quality,secondary_qualities,training_role,primary_muscles,secondary_muscles,equipment,environments,minimum_level,technical_cost,impact_cost,fatigue_cost,supervision_required,dose_units,instructions,coaching_cues,common_mistakes,safety_stop_conditions,progressions,regressions,substitutions,catalogue_scope,generator_eligible,approval_status,approved_by,approval_scope
REV-001,Bodyweight Squat,bodyweight_squat,,exercise,squat,maximum_strength,mobility_preparation,primary,quadriceps;glutes,hamstrings;calves;trunk,bodyweight,field;gym;home,beginner,1,1,3,no,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Set feet around shoulder width. Sit back and down while keeping a controlled trunk position. Track knees over toes.,Set feet around shoulder width. Sit back and down while keeping a controlled trunk position. Track knees over toes.,Knees collapsing inward. Rounding the back. Shifting too far onto toes.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Painful knee range without modification.",bulgarian_split_squat,,box_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-001,Easy Mode-Specific Raise,easy_mode_specific_raise,,preparation_drill,cyclical_locomotion,mobility_preparation,recovery_capacity,preparation,whole_body,trunk;supporting musculature,mode_specific,field;gym;home;road;track;court;pool,beginner,1,1,1,no,sets;repetitions;duration_seconds;distance_m;effort_rpe;recovery_seconds,"Perform easy movement matching or supporting the coming session, gradually raising temperature without creating fatigue.","Easy rhythm. Breathe comfortably. Finish warmer, not tired.",Starting too hard. Turning the raise into conditioning. Using a mode that aggravates symptoms.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique.",,,,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-002,Goblet Squat,goblet_squat,,exercise,squat,maximum_strength,,primary,quadriceps;glutes,adductors;hamstrings;trunk;upper_back,dumbbells;kettlebell,field;gym;home,beginner,1,1,3,no,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Hold weight close to chest. Open knees with control. Keep chest tall.,Hold weight close to chest. Open knees with control. Keep chest tall.,Weight drifting away. Rounding into the bottom. Heels lifting.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Grip or upper-body strength limits the legs. The athlete cannot maintain foot pressure. Load needs exceed available dumbbells.",barbell_front_squat;barbell_back_squat,,landmine_squat;belt_squat;box_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-002,Snap-Down,snap_down,,deceleration_drill,bilateral_landing,landing_capacity,deceleration;trunk_force_transfer,preparation,quadriceps;glutes;calves,trunk;supporting musculature,bodyweight,field;gym;court;home,beginner,2,1,1,no,sets;repetitions;distance_m;approach_intensity_percent;recovery_seconds,"Rise tall, then rapidly lower into an athletic landing position and hold it under control.",Land quietly. Whole foot. Hips and knees share the stop.,Knees collapsing. Heels lifting. Chest folding. Failing to hold the finish.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique.",bilateral_jump_to_stick,bodyweight_squat,,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-003,Barbell Back Squat,barbell_back_squat,,exercise,squat,maximum_strength,trunk_force_transfer,primary,quadriceps;glutes,hamstrings;adductors;trunk,barbell;squat_rack;plates,gym,intermediate,3,1,3,yes,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Brace before descent. Sit between the hips. Keep knees tracking with toes.,Brace before descent. Sit between the hips. Keep knees tracking with toes.,Knees collapsing inward. Losing repeatable trunk position under load. Heels lifting.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Uncontrolled lumbar flexion occurs. Acute hip, knee, or back pain is present. No safe rack or spotting setup is available.",,goblet_squat;box_squat;leg_press,safety_bar_squat;barbell_front_squat;belt_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-003,Bilateral Jump and Stick,bilateral_jump_to_stick,,plyometric,bilateral_jump_landing,landing_capacity,vertical_power;deceleration,primary,quadriceps;glutes;calves,trunk;supporting musculature,soft_landing_surface,field;gym;court;home,beginner,2,2,2,no,sets;repetitions;contacts;distance_m;height_cm;intensity_percent;effort_rpe;recovery_seconds,"Jump vertically or slightly forward from two feet, land on two feet and hold the landing before resetting.",Quiet contact. Knees track. Freeze the landing.,Chasing height before control. Rebounding immediately. Stiff or asymmetric landing.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique.",drop_landing_to_stick,snap_down,drop_landing_to_stick;single_leg_land_and_stick,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-004,Barbell Front Squat,barbell_front_squat,,exercise,squat,maximum_strength,trunk_force_transfer,primary,quadriceps;glutes,upper_back;trunk;adductors;hamstrings,barbell;squat_rack;plates,gym,advanced,3,1,2,yes,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Elbows high. Ribs stacked over pelvis. Knees forward and out.,Elbows high. Ribs stacked over pelvis. Knees forward and out.,Elbows dropping. Bar rolling forward. Excessive wrist strain.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Front rack cannot be held safely. Wrist, shoulder, or thoracic mobility blocks setup. Heavy loads cause torso collapse.",,goblet_squat;landmine_squat,safety_bar_squat;leg_press,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-004,Drop Landing to Stick,drop_landing_to_stick,,plyometric,bilateral_drop_landing,landing_capacity,deceleration;eccentric_capacity,primary,quadriceps;glutes;calves,trunk;supporting musculature,low_box;soft_landing_surface,field;gym;court,intermediate,3,3,2,yes,sets;repetitions;contacts;distance_m;height_cm;intensity_percent;effort_rpe;recovery_seconds,"Step—not jump—off a reviewed low box, land on two feet and stabilize before leaving the position.",Step off. Meet the floor. Hold the finish.,Jumping upward from the box. Excessive height. Collapsing or bouncing out of the landing.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. Box height must be reviewed and must not increase unless repeated landing quality remains acceptable.",single_leg_land_and_stick,bilateral_jump_to_stick;snap_down,bilateral_jump_to_stick,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-005,Box Squat,box_squat,,exercise,squat,maximum_strength,recovery_capacity,primary,quadriceps;glutes,hamstrings;adductors;trunk,bench;barbell;dumbbells,gym,beginner,3,1,3,yes,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Reach back to the target. Stay braced on contact. Touch lightly then drive.,Reach back to the target. Stay braced on contact. Touch lightly then drive.,Relaxing on the box. Rocking backward to stand. Crashing into the target.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: The athlete cannot control the sit. The box causes pain or poor pelvic position. The goal requires full-depth free squatting now.",barbell_back_squat,leg_press,belt_squat;goblet_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-005,Single-Leg Land and Stick,single_leg_land_and_stick,,plyometric,unilateral_landing,landing_capacity,deceleration,primary,quadriceps;glutes;calves,trunk;supporting musculature,soft_landing_surface,field;gym;court,intermediate,3,3,3,yes,sets;repetitions;contacts;distance_m;height_cm;intensity_percent;effort_rpe;recovery_seconds,"Use a small hop or step-off, land on one leg and hold alignment without the free foot touching down.","Own the landing. Hip, knee and foot aligned. Hold before resetting.",Too much displacement. Pelvis dropping. Knee collapsing. Reaching the free foot down immediately.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique.",,snap_down;bilateral_jump_to_stick,drop_landing_to_stick;bilateral_jump_to_stick,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
